ID,POSID,BANNERNAME,NAME,ADDRESS,CITY,PROVINCE ABBV.,COUNTRY ABBV.,POSTALCODE,PHONENUMBER,LATITUDE,LONGITUDE,WEBSITE URL
187,4602,Delta 9,Winnipeg - St. James,,Winnipeg,,CA,,,,,https://delta9.ca/shop/4602?redirect=%2Fshop&agb=true
188,4592,Delta 9,Winnipeg - St. Vital,Unit 1-829 Dakota St,Winnipeg,MB,CA,R2M 5M2,,49.8306,-97.10698,https://delta9.ca/shop/4592?redirect=%2Fshop&agb=true
189,238367,Discounted Cannabis,Beaumont,5003 30 Ave Unit 101,Beaumont,AB,CA,T4X 1T9,,53.34003,-113.4162,https://discounted-cannabis.ca/shop/238367?redirect=%2Fshop&agb=true
190,249378,Discounted Cannabis,Edmonton - 118th Ave,13210 118 Ave NW,Edmonton,AB,CA,T5L 4N4,,53.57051,-113.55104,https://discounted-cannabis.ca/shop/249378?redirect=%2Fshop&agb=true
191,238369,Discounted Cannabis,Edmonton - 50th Street,12988 50 St NW,Edmonton,AB,CA,T5A 4L2,,53.58919,-113.41928,https://discounted-cannabis.ca/shop/238369?redirect=%2Fshop&agb=true
192,249377,Discounted Cannabis,Edmonton - 82nd St,,,,CA,,,,,https://discounted-cannabis.ca/shop/249377?redirect=%2Fshop&agb=true
193,257554,Discounted Cannabis,Edmonton - Manning Crossing,252 Manning Crossing NW Unit A 106-2,Edmonton,AB,CA,T5A 5A1,,53.60027,-113.42369,https://discounted-cannabis.ca/shop/257554?redirect=%2Fshop&agb=true
194,238368,Discounted Cannabis,Morinville,,,,CA,,,,,https://discounted-cannabis.ca/shop/238368?redirect=%2Fshop&agb=true
195,249379,Discounted Cannabis,North Edmonton - 127th St,,,,CA,,,,,https://discounted-cannabis.ca/shop/249379?redirect=%2Fshop&agb=true
196,257553,Discounted Cannabis,Stony Plain - 48th St,,,,CA,,,,,https://discounted-cannabis.ca/shop/257553?redirect=%2Fshop&agb=true
197,4168,Flower Haze,Flower Haze - Ottawa,,,,CA,,,,,https://flowerhaze.com/shop/4168?redirect=%2Fshop&agb=true
198,206344,Uncle Sams,Edmonton - 50th Street,,,,CA,,,,,https://unclesams.ca/shop/206344?redirect=%2Fshop&agb=true
199,274135,Uncle Sams,Edmonton - 90th Ave,,,,CA,,,,,https://unclesams.ca/shop/274135?redirect=%2Fshop&agb=true
200,210986,Uncle Sams,Edmonton - 97th St,,,,CA,,,,,https://unclesams.ca/shop/210986?redirect=%2Fshop&agb=true
201,187295,Uncle Sams,Edmonton - Calgary Trail,,,,CA,,,,,https://unclesams.ca/shop/187295?redirect=%2Fshop&agb=true
202,226530,Uncle Sams,Edmonton - Castle Downs Rd,,,,CA,,,,,https://unclesams.ca/shop/226530?redirect=%2Fshop&agb=true
203,175897,Uncle Sams,Edmonton - Fort Road,,,,CA,,,,,https://unclesams.ca/shop/175897?redirect=%2Fshop&agb=true
204,187294,Uncle Sams,Morinville,,,,CA,,,,,https://unclesams.ca/shop/187294?redirect=%2Fshop&agb=true
205,141709,Uncle Sams,Sherwood Park,,,,CA,,,,,https://unclesams.ca/shop/141709?redirect=%2Fshop&agb=true
